,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
35,36,2024-01-08,7:00p,Away,Indiana Pacers,131,133,28,8,L 1,L,47,90,17,35,0.486,20,29,0.69,13,42,26,3,8,15,20,2024,Boston Celtics
36,37,2024-01-10,7:00p,Home,Minnesota Timberwolves,127,120,29,8,W 1,W,39,90,19,47,0.404,30,31,0.968,7,46,21,5,4,8,19,2024,Boston Celtics
37,38,2024-01-11,7:30p,Away,Milwaukee Bucks,102,135,29,9,L 1,L,34,91,9,35,0.257,25,30,0.833,6,31,22,5,5,6,13,2024,Boston Celtics
38,39,2024-01-13,7:00p,Home,Houston Rockets,145,113,30,9,W 1,W,51,95,24,47,0.511,19,25,0.76,10,50,26,7,8,11,21,2024,Boston Celtics
39,40,2024-01-15,7:30p,Away,Toronto Raptors,105,96,31,9,W 2,W,33,82,16,39,0.41,23,25,0.92,5,53,20,3,7,12,16,2024,Boston Celtics
40,41,2024-01-17,7:30p,Home,San Antonio Spurs,117,98,32,9,W 3,W,42,90,18,38,0.474,15,19,0.789,12,54,22,5,6,12,15,2024,Boston Celtics
41,42,2024-01-19,7:30p,Home,Denver Nuggets,100,102,32,10,L 1,L,38,89,14,44,0.318,10,14,0.714,12,38,21,5,2,2,17,2024,Boston Celtics
42,43,2024-01-21,7:00p,Away,Houston Rockets,116,107,33,10,W 1,W,43,98,17,47,0.362,13,18,0.722,16,55,31,10,12,16,17,2024,Boston Celtics
43,44,2024-01-22,8:30p,Away,Dallas Mavericks,119,110,34,10,W 2,W,41,88,15,46,0.326,22,30,0.733,5,44,26,7,8,6,20,2024,Boston Celtics
44,45,2024-01-25,7:30p,Away,Miami Heat,143,110,35,10,W 3,W,51,80,22,40,0.55,19,20,0.95,6,47,36,4,5,11,10,2024,Boston Celtics
45,46,2024-01-27,7:00p,Home,Los Angeles Clippers,96,115,35,11,L 1,L,36,100,10,40,0.25,14,16,0.875,18,52,21,2,9,11,13,2024,Boston Celtics
46,1,2023-10-26,7:30p,Home,Philadelphia 76ers,118,117,1,0,W 1,W,41,81,11,30,0.367,25,36,0.694,8,43,20,9,4,14,23,2024,Milwaukee Bucks
47,2,2023-10-29,7:00p,Home,Atlanta Hawks,110,127,1,1,L 1,L,39,86,16,44,0.364,16,20,0.8,12,39,22,10,3,23,22,2024,Milwaukee Bucks
48,3,2023-10-30,8:00p,Home,Miami Heat,122,114,2,1,W 1,W,44,87,12,37,0.324,22,30,0.733,9,43,24,8,5,14,23,2024,Milwaukee Bucks
49,4,2023-11-01,7:00p,Away,Toronto Raptors,111,130,2,2,L 1,L,35,76,13,34,0.382,28,38,0.737,7,29,19,9,2,12,17,2024,Milwaukee Bucks
