,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
415,5,2023-11-01,7:30p,Home,Washington Wizards,130,121,3,2,W 3,W,46,92,9,32,0.281,29,32,0.906,14,57,26,8,3,20,16,2024,Atlanta Hawks
416,6,2023-11-04,7:00p,Away,New Orleans Pelicans,123,105,4,2,W 4,W,45,93,14,41,0.341,19,24,0.792,19,52,28,4,6,11,16,2024,Atlanta Hawks
417,7,2023-11-06,8:00p,Away,Oklahoma City Thunder,117,126,4,3,L 1,L,38,102,14,42,0.333,27,32,0.844,25,59,27,8,3,15,16,2024,Atlanta Hawks
418,8,2023-11-09,9:30p,Away,Orlando Magic,120,119,5,3,W 1,W,41,85,15,39,0.385,23,30,0.767,8,36,22,13,7,17,25,2024,Atlanta Hawks
419,9,2023-11-11,7:30p,Home,Miami Heat,109,117,5,4,L 1,L,38,87,18,46,0.391,15,18,0.833,15,48,23,6,6,21,19,2024,Atlanta Hawks
420,10,2023-11-14,7:00p,Away,Detroit Pistons,126,120,6,4,W 1,W,45,87,12,33,0.364,24,26,0.923,10,41,28,9,7,14,19,2024,Atlanta Hawks
421,11,2023-11-15,7:30p,Home,New York Knicks,114,116,6,5,L 1,L,41,75,12,31,0.387,20,26,0.769,6,30,28,11,6,15,20,2024,Atlanta Hawks
422,12,2023-11-17,7:30p,Home,Philadelphia 76ers,116,126,6,6,L 2,L,40,89,12,33,0.364,24,30,0.8,14,39,24,8,4,13,20,2024,Atlanta Hawks
423,13,2023-11-21,7:30p,Home,Indiana Pacers,152,157,6,7,L 3,L,57,95,15,31,0.484,23,28,0.821,12,39,28,8,4,15,23,2024,Atlanta Hawks
424,14,2023-11-22,7:30p,Home,Brooklyn Nets,147,145,7,7,W 1,W,51,116,18,49,0.367,27,29,0.931,22,58,24,10,8,14,18,2024,Atlanta Hawks
425,15,2023-11-25,7:00p,Away,Washington Wizards,136,108,8,7,W 2,W,52,102,18,37,0.486,14,20,0.7,17,49,29,13,2,9,15,2024,Atlanta Hawks
426,16,2023-11-26,6:00p,Away,Boston Celtics,103,113,8,8,L 1,L,36,88,19,53,0.358,12,19,0.632,11,43,15,5,4,15,17,2024,Atlanta Hawks
427,17,2023-11-28,7:30p,Away,Cleveland Cavaliers,105,128,8,9,L 2,L,35,101,13,44,0.295,22,24,0.917,14,44,21,9,3,10,16,2024,Atlanta Hawks
428,18,2023-11-30,8:00p,Away,San Antonio Spurs,137,135,9,9,W 1,W,49,96,14,33,0.424,25,29,0.862,8,37,24,14,2,10,25,2024,Atlanta Hawks
429,19,2023-12-02,8:00p,Away,Milwaukee Bucks,121,132,9,10,L 1,L,45,101,15,38,0.395,16,21,0.762,15,40,23,11,4,11,14,2024,Atlanta Hawks
430,20,2023-12-06,7:30p,Home,Brooklyn Nets,113,114,9,11,L 2,L,42,94,12,35,0.343,17,18,0.944,11,49,25,5,4,12,23,2024,Atlanta Hawks
431,21,2023-12-08,7:00p,Away,Philadelphia 76ers,114,125,9,12,L 3,L,41,104,13,39,0.333,19,21,0.905,23,55,20,3,4,13,23,2024,Atlanta Hawks
432,22,2023-12-11,7:30p,Home,Denver Nuggets,122,129,9,13,L 4,L,44,96,17,44,0.386,17,18,0.944,13,35,25,9,2,10,21,2024,Atlanta Hawks
433,23,2023-12-13,7:30p,Away,Toronto Raptors,128,135,9,14,L 5,L,48,100,18,41,0.439,14,19,0.737,13,42,32,9,8,7,18,2024,Atlanta Hawks
434,24,2023-12-15,7:30p,Away,Toronto Raptors,125,104,10,14,W 1,W,52,101,16,41,0.39,5,6,0.833,16,55,34,4,4,12,19,2024,Atlanta Hawks
435,25,2023-12-16,7:30p,Away,Cleveland Cavaliers,119,127,10,15,L 1,L,41,85,15,36,0.417,22,25,0.88,6,34,21,5,4,11,21,2024,Atlanta Hawks
436,26,2023-12-18,7:30p,Home,Detroit Pistons,130,124,11,15,W 1,W,46,85,16,36,0.444,22,27,0.815,11,40,25,6,10,17,24,2024,Atlanta Hawks
437,27,2023-12-20,8:00p,Away,Houston Rockets,134,127,12,15,W 2,W,47,91,17,40,0.425,23,28,0.821,12,44,31,4,3,9,18,2024,Atlanta Hawks
438,28,2023-12-22,8:00p,Away,Miami Heat,113,122,12,16,L 1,L,42,96,19,54,0.352,10,14,0.714,12,43,29,9,2,13,23,2024,Atlanta Hawks
439,29,2023-12-23,7:30p,Home,Memphis Grizzlies,119,125,12,17,L 2,L,45,96,13,43,0.302,16,20,0.8,13,41,28,8,5,10,22,2024,Atlanta Hawks
440,30,2023-12-26,8:00p,Away,Chicago Bulls,113,118,12,18,L 3,L,41,89,13,45,0.289,18,21,0.857,12,40,24,6,3,15,21,2024,Atlanta Hawks
441,31,2023-12-29,7:30p,Home,Sacramento Kings,110,117,12,19,L 4,L,37,94,15,43,0.349,21,25,0.84,18,51,29,9,4,15,16,2024,Atlanta Hawks
442,32,2023-12-31,3:00p,Away,Washington Wizards,130,126,13,19,W 1,W,47,95,12,32,0.375,24,37,0.649,12,58,27,5,3,12,18,2024,Atlanta Hawks
443,33,2024-01-03,7:30p,Home,Oklahoma City Thunder,141,138,14,19,W 2,W,48,95,14,39,0.359,31,33,0.939,15,49,30,8,5,11,21,2024,Atlanta Hawks
444,34,2024-01-05,7:00p,Away,Indiana Pacers,116,150,14,20,L 1,L,40,93,10,42,0.238,26,30,0.867,14,39,21,6,3,14,11,2024,Atlanta Hawks
445,35,2024-01-07,6:00p,Away,Orlando Magic,110,117,14,21,L 2,L,42,91,9,30,0.3,17,29,0.586,8,50,21,9,10,12,23,2024,Atlanta Hawks
446,36,2024-01-10,7:30p,Home,Philadelphia 76ers,139,132,15,21,W 1,W,48,102,12,34,0.353,31,42,0.738,16,55,32,6,8,12,21,2024,Atlanta Hawks
447,37,2024-01-12,7:30p,Home,Indiana Pacers,108,126,15,22,L 1,L,40,89,11,30,0.367,17,23,0.739,12,28,25,14,2,14,13,2024,Atlanta Hawks
448,38,2024-01-13,7:30p,Home,Washington Wizards,99,127,15,23,L 2,L,32,93,11,40,0.275,24,33,0.727,16,50,21,9,7,14,20,2024,Atlanta Hawks
449,39,2024-01-15,3:30p,Home,San Antonio Spurs,109,99,16,23,W 1,W,40,93,13,38,0.342,16,21,0.762,13,57,24,8,6,16,19,2024,Atlanta Hawks
450,40,2024-01-17,7:30p,Home,Orlando Magic,106,104,17,23,W 2,W,39,76,8,25,0.32,20,22,0.909,10,41,21,8,2,23,17,2024,Atlanta Hawks
451,41,2024-01-19,8:00p,Away,Miami Heat,109,108,18,23,W 3,W,40,87,15,35,0.429,14,17,0.824,9,38,23,6,2,13,20,2024,Atlanta Hawks
452,42,2024-01-20,7:30p,Home,Cleveland Cavaliers,95,116,18,24,L 1,L,37,93,11,38,0.289,10,15,0.667,11,45,25,5,4,11,15,2024,Atlanta Hawks
453,43,2024-01-22,10:00p,Away,Sacramento Kings,107,122,18,25,L 2,L,36,93,14,40,0.35,21,27,0.778,13,50,19,2,7,12,19,2024,Atlanta Hawks
454,44,2024-01-24,10:00p,Away,Golden State Warriors,112,134,18,26,L 3,L,39,94,14,43,0.326,20,26,0.769,13,45,30,7,2,10,16,2024,Atlanta Hawks
455,45,2024-01-26,7:00p,Home,Dallas Mavericks,143,148,18,27,L 4,L,51,97,15,34,0.441,26,30,0.867,12,36,32,7,2,7,24,2024,Atlanta Hawks
456,46,2024-01-28,6:00p,Home,Toronto Raptors,126,125,19,27,W 1,W,44,95,6,27,0.222,32,40,0.8,20,51,27,7,4,14,21,2024,Atlanta Hawks
457,1,2023-10-25,7:30p,Home,Cleveland Cavaliers,113,114,0,1,L 1,L,42,84,9,27,0.333,20,26,0.769,13,50,30,6,6,17,16,2024,Brooklyn Nets
458,2,2023-10-27,8:30p,Away,Dallas Mavericks,120,125,0,2,L 2,L,45,92,21,43,0.488,9,10,0.9,10,47,30,5,4,15,28,2024,Brooklyn Nets
459,3,2023-10-30,7:00p,Away,Charlotte Hornets,133,121,1,2,W 1,W,49,87,12,33,0.364,23,32,0.719,10,46,25,4,8,13,19,2024,Brooklyn Nets
460,4,2023-11-01,7:30p,Away,Miami Heat,109,105,2,2,W 2,W,37,82,16,36,0.444,19,26,0.731,7,47,27,11,4,18,18,2024,Brooklyn Nets
461,5,2023-11-03,8:00p,Away,Chicago Bulls,109,107,3,2,W 3,W,44,96,18,45,0.4,3,5,0.6,8,39,32,4,4,8,12,2024,Brooklyn Nets
462,6,2023-11-04,8:00p,Home,Boston Celtics,114,124,3,3,L 1,L,43,100,17,52,0.327,11,17,0.647,10,42,22,4,5,5,21,2024,Brooklyn Nets
463,7,2023-11-06,7:30p,Home,Milwaukee Bucks,125,129,3,4,L 2,L,49,101,16,45,0.356,11,13,0.846,11,46,22,2,4,8,16,2024,Brooklyn Nets
464,8,2023-11-08,7:30p,Home,Los Angeles Clippers,100,93,4,4,W 1,W,37,92,15,41,0.366,11,13,0.846,14,49,22,10,10,14,14,2024,Brooklyn Nets
465,9,2023-11-10,7:30p,Away,Boston Celtics,107,121,4,5,L 1,L,38,85,15,37,0.405,16,18,0.889,9,46,26,0,3,10,25,2024,Brooklyn Nets
466,10,2023-11-12,3:00p,Home,Washington Wizards,102,94,5,5,W 1,W,37,98,12,49,0.245,16,20,0.8,20,66,22,6,6,18,18,2024,Brooklyn Nets
467,11,2023-11-14,7:30p,Home,Orlando Magic,124,104,6,5,W 2,W,46,85,19,39,0.487,13,20,0.65,13,44,22,13,3,15,24,2024,Brooklyn Nets
468,12,2023-11-16,7:30p,Away,Miami Heat,115,122,6,6,L 1,L,40,85,14,36,0.389,21,27,0.778,10,40,29,5,3,14,20,2024,Brooklyn Nets
469,13,2023-11-19,3:00p,Home,Philadelphia 76ers,99,121,6,7,L 2,L,38,81,11,28,0.393,12,16,0.75,9,45,24,2,8,15,14,2024,Brooklyn Nets
470,14,2023-11-22,7:30p,Away,Atlanta Hawks,145,147,6,8,L 3,L,55,113,15,35,0.429,20,24,0.833,22,59,28,8,6,16,24,2024,Brooklyn Nets
471,15,2023-11-25,6:00p,Home,Miami Heat,112,97,7,8,W 1,W,39,78,14,36,0.389,20,23,0.87,8,42,27,11,9,11,18,2024,Brooklyn Nets
472,16,2023-11-26,7:30p,Home,Chicago Bulls,118,109,8,8,W 2,W,41,83,25,53,0.472,11,15,0.733,8,39,29,7,2,9,19,2024,Brooklyn Nets
473,17,2023-11-28,7:30p,Home,Toronto Raptors,115,103,9,8,W 3,W,40,89,13,38,0.342,22,26,0.846,13,59,26,7,8,15,17,2024,Brooklyn Nets
474,18,2023-11-30,7:30p,Home,Charlotte Hornets,128,129,9,9,L 1,L,52,105,14,36,0.389,10,15,0.667,22,52,21,6,4,9,11,2024,Brooklyn Nets
475,19,2023-12-02,7:00p,Home,Orlando Magic,129,101,10,9,W 1,W,46,91,14,34,0.412,23,31,0.742,14,57,31,4,8,11,21,2024,Brooklyn Nets
476,20,2023-12-06,7:30p,Away,Atlanta Hawks,114,113,11,9,W 2,W,43,94,11,27,0.407,17,24,0.708,12,45,24,7,6,12,19,2024,Brooklyn Nets
477,21,2023-12-08,7:30p,Home,Washington Wizards,124,97,12,9,W 3,W,50,104,10,33,0.303,14,18,0.778,18,55,27,8,8,10,18,2024,Brooklyn Nets
478,22,2023-12-11,10:00p,Away,Sacramento Kings,118,131,12,10,L 1,L,42,88,14,29,0.483,20,21,0.952,10,41,24,4,6,13,13,2024,Brooklyn Nets
479,23,2023-12-13,9:00p,Away,Phoenix Suns,116,112,13,10,W 1,W,41,89,15,41,0.366,19,24,0.792,10,36,24,9,4,7,17,2024,Brooklyn Nets
480,24,2023-12-14,9:00p,Away,Denver Nuggets,101,124,13,11,L 1,L,39,95,8,30,0.267,15,20,0.75,18,53,28,5,4,16,23,2024,Brooklyn Nets
481,25,2023-12-16,8:30p,Away,Golden State Warriors,120,124,13,12,L 2,L,45,93,17,43,0.395,13,15,0.867,14,42,31,6,8,16,21,2024,Brooklyn Nets
482,26,2023-12-18,9:00p,Away,Utah Jazz,108,125,13,13,L 3,L,39,90,16,39,0.41,14,20,0.7,11,36,25,4,9,13,17,2024,Brooklyn Nets
483,27,2023-12-20,7:30p,Home,New York Knicks,102,121,13,14,L 4,L,37,101,15,47,0.319,13,17,0.765,17,49,25,6,9,11,20,2024,Brooklyn Nets
484,28,2023-12-22,7:30p,Home,Denver Nuggets,117,122,13,15,L 5,L,43,89,13,33,0.394,18,26,0.692,14,45,32,4,7,10,23,2024,Brooklyn Nets
485,29,2023-12-23,7:30p,Home,Detroit Pistons,126,115,14,15,W 1,W,45,86,10,24,0.417,26,32,0.813,7,38,32,10,3,10,22,2024,Brooklyn Nets
486,30,2023-12-26,7:00p,Away,Detroit Pistons,118,112,15,15,W 2,W,41,82,9,22,0.409,27,43,0.628,7,42,22,6,7,9,22,2024,Brooklyn Nets
487,31,2023-12-27,7:30p,Home,Milwaukee Bucks,122,144,15,16,L 1,L,45,101,7,32,0.219,25,29,0.862,17,47,29,7,2,9,17,2024,Brooklyn Nets
488,32,2023-12-29,7:00p,Away,Washington Wizards,104,110,15,17,L 2,L,39,91,9,28,0.321,17,27,0.63,18,54,24,5,4,10,13,2024,Brooklyn Nets
489,33,2023-12-31,7:00p,Away,Oklahoma City Thunder,108,124,15,18,L 3,L,38,100,12,46,0.261,20,31,0.645,17,47,26,9,2,6,21,2024,Brooklyn Nets
490,34,2024-01-02,8:00p,Away,New Orleans Pelicans,85,112,15,19,L 4,L,35,98,11,43,0.256,4,8,0.5,18,43,26,7,4,12,13,2024,Brooklyn Nets
491,35,2024-01-03,8:00p,Away,Houston Rockets,101,112,15,20,L 5,L,36,93,13,44,0.295,16,26,0.615,15,50,25,11,6,8,19,2024,Brooklyn Nets
492,36,2024-01-05,7:30p,Home,Oklahoma City Thunder,124,115,16,20,W 1,W,41,91,14,39,0.359,28,33,0.848,20,51,25,9,3,15,24,2024,Brooklyn Nets
493,37,2024-01-07,3:00p,Home,Portland Trail Blazers,127,134,16,21,L 1,L,46,91,14,37,0.378,21,25,0.84,9,44,29,7,7,15,25,2024,Brooklyn Nets
494,38,2024-01-11,2:00p,Away,Cleveland Cavaliers,102,111,16,22,L 2,L,37,82,8,27,0.296,20,28,0.714,9,41,18,5,4,16,29,2024,Brooklyn Nets
495,39,2024-01-15,7:30p,Home,Miami Heat,95,96,16,23,L 3,L,34,99,12,55,0.218,15,16,0.938,9,50,26,9,9,8,17,2024,Brooklyn Nets
496,40,2024-01-17,10:00p,Away,Portland Trail Blazers,103,105,16,24,L 4,L,35,73,15,38,0.395,18,27,0.667,6,33,28,9,3,10,14,2024,Brooklyn Nets
497,41,2024-01-19,10:30p,Away,Los Angeles Lakers,130,112,17,24,W 1,W,50,95,19,47,0.404,11,14,0.786,8,41,31,10,4,8,17,2024,Brooklyn Nets
498,42,2024-01-21,3:30p,Away,Los Angeles Clippers,114,125,17,25,L 1,L,44,90,14,39,0.359,12,16,0.75,6,36,29,6,5,12,21,2024,Brooklyn Nets
499,43,2024-01-23,7:30p,Home,New York Knicks,103,108,17,26,L 2,L,42,95,15,42,0.357,4,5,0.8,13,40,29,7,5,13,19,2024,Brooklyn Nets
500,44,2024-01-25,7:30p,Home,Minnesota Timberwolves,94,96,17,27,L 3,L,35,77,10,33,0.303,14,16,0.875,5,32,22,7,3,13,15,2024,Brooklyn Nets
501,45,2024-01-27,6:00p,Home,Houston Rockets,106,104,18,27,W 1,W,36,74,12,34,0.353,22,37,0.595,2,40,24,11,6,19,22,2024,Brooklyn Nets
502,1,2023-10-25,7:30p,Home,Minnesota Timberwolves,97,94,1,0,W 1,W,36,90,14,35,0.4,11,16,0.688,8,47,27,9,11,14,18,2024,Toronto Raptors
503,2,2023-10-27,8:00p,Away,Chicago Bulls,103,104,1,1,L 1,L,39,84,9,36,0.25,16,25,0.64,8,53,25,5,2,21,29,2024,Toronto Raptors
504,3,2023-10-28,7:30p,Home,Philadelphia 76ers,107,114,1,2,L 2,L,38,87,17,32,0.531,14,19,0.737,13,41,28,5,5,13,19,2024,Toronto Raptors
505,4,2023-10-30,7:30p,Home,Portland Trail Blazers,91,99,1,3,L 3,L,38,94,4,29,0.138,11,15,0.733,14,47,19,10,4,11,17,2024,Toronto Raptors
506,5,2023-11-01,7:00p,Home,Milwaukee Bucks,130,111,2,3,W 1,W,51,91,15,38,0.395,13,14,0.929,15,50,35,7,6,16,25,2024,Toronto Raptors
507,6,2023-11-02,7:00p,Away,Philadelphia 76ers,99,114,2,4,L 1,L,38,79,10,28,0.357,13,19,0.684,9,41,30,4,3,19,20,2024,Toronto Raptors
508,7,2023-11-05,3:30p,Away,San Antonio Spurs,123,116,3,4,W 1,W,44,97,19,48,0.396,16,26,0.615,13,47,29,12,6,14,15,2024,Toronto Raptors
509,8,2023-11-08,8:30p,Away,Dallas Mavericks,127,116,4,4,W 2,W,49,99,11,36,0.306,18,27,0.667,15,50,27,10,4,11,25,2024,Toronto Raptors
510,9,2023-11-11,7:00p,Away,Boston Celtics,94,117,4,5,L 1,L,35,91,10,37,0.27,14,16,0.875,7,37,25,8,1,8,14,2024,Toronto Raptors
511,10,2023-11-13,7:30p,Home,Washington Wizards,111,107,5,5,W 1,W,45,90,4,20,0.2,17,25,0.68,16,48,28,11,4,16,13,2024,Toronto Raptors
512,11,2023-11-15,7:30p,Home,Milwaukee Bucks,112,128,5,6,L 1,L,38,96,9,33,0.273,27,31,0.871,26,55,28,10,8,14,19,2024,Toronto Raptors
513,12,2023-11-17,7:30p,Home,Boston Celtics,105,108,5,7,L 2,L,42,87,12,33,0.364,9,14,0.643,5,41,29,4,1,13,11,2024,Toronto Raptors
514,13,2023-11-19,4:00p,Home,Detroit Pistons,142,113,6,7,W 1,W,55,102,14,36,0.389,18,29,0.621,12,47,44,10,5,7,23,2024,Toronto Raptors
515,14,2023-11-21,7:00p,Away,Orlando Magic,107,126,6,8,L 1,L,38,75,14,28,0.5,17,22,0.773,5,38,29,6,6,23,20,2024,Toronto Raptors
516,15,2023-11-22,7:30p,Away,Indiana Pacers,132,131,7,8,W 1,W,48,90,11,27,0.407,25,30,0.833,13,46,26,7,3,17,15,2024,Toronto Raptors
517,16,2023-11-24,7:30p,Home,Chicago Bulls,121,108,8,8,W 2,W,44,83,13,39,0.333,20,27,0.741,13,40,32,8,6,14,14,2024,Toronto Raptors
518,17,2023-11-26,7:30p,Away,Cleveland Cavaliers,102,105,8,9,L 1,L,37,89,8,32,0.25,20,29,0.69,17,50,17,9,3,12,11,2024,Toronto Raptors
519,18,2023-11-28,7:30p,Away,Brooklyn Nets,103,115,8,10,L 2,L,39,101,13,36,0.361,12,19,0.632,15,46,27,11,3,7,21,2024,Toronto Raptors
520,19,2023-11-29,7:30p,Home,Phoenix Suns,112,105,9,10,W 1,W,42,93,10,27,0.37,18,21,0.857,15,49,25,7,5,9,22,2024,Toronto Raptors
521,20,2023-12-01,7:30p,Home,New York Knicks,106,119,9,11,L 1,L,44,100,6,32,0.188,12,17,0.706,19,48,32,7,6,12,19,2024,Toronto Raptors
522,21,2023-12-06,7:30p,Home,Miami Heat,103,112,9,12,L 2,L,37,86,14,37,0.378,15,17,0.882,8,46,29,3,8,14,18,2024,Toronto Raptors
523,22,2023-12-08,7:00p,Away,Charlotte Hornets,116,119,9,13,L 3,L,47,93,6,32,0.188,16,21,0.762,14,42,32,7,2,14,21,2024,Toronto Raptors
524,23,2023-12-11,7:30p,Away,New York Knicks,130,136,9,14,L 4,L,47,96,14,39,0.359,22,30,0.733,17,38,32,12,0,10,21,2024,Toronto Raptors
525,24,2023-12-13,7:30p,Home,Atlanta Hawks,135,128,10,14,W 1,W,50,87,18,34,0.529,17,24,0.708,9,47,39,3,9,14,18,2024,Toronto Raptors
526,25,2023-12-15,7:30p,Home,Atlanta Hawks,104,125,10,15,L 1,L,40,77,10,31,0.323,14,25,0.56,3,32,30,8,6,14,19,2024,Toronto Raptors
527,26,2023-12-18,7:30p,Home,Charlotte Hornets,114,99,11,15,W 1,W,44,86,8,29,0.276,18,22,0.818,15,51,30,4,4,17,16,2024,Toronto Raptors
528,27,2023-12-20,7:30p,Home,Denver Nuggets,104,113,11,16,L 1,L,43,90,9,27,0.333,9,13,0.692,10,41,26,3,5,11,12,2024,Toronto Raptors
529,28,2023-12-22,7:00p,Away,Philadelphia 76ers,111,121,11,17,L 2,L,39,87,9,33,0.273,24,28,0.857,11,46,30,9,6,12,16,2024,Toronto Raptors
530,29,2023-12-23,7:30p,Home,Utah Jazz,119,126,11,18,L 3,L,45,94,13,32,0.406,16,19,0.842,12,39,35,7,5,11,17,2024,Toronto Raptors
531,30,2023-12-27,7:00p,Away,Washington Wizards,132,102,12,18,W 1,W,52,91,15,38,0.395,13,19,0.684,14,53,43,12,5,17,18,2024,Toronto Raptors
532,31,2023-12-29,7:30p,Away,Boston Celtics,118,120,12,19,L 1,L,44,95,17,44,0.386,13,20,0.65,9,38,29,10,6,4,15,2024,Toronto Raptors
533,32,2023-12-30,6:00p,Away,Detroit Pistons,127,129,12,20,L 2,L,46,91,12,24,0.5,23,28,0.821,6,33,26,9,5,7,27,2024,Toronto Raptors
534,33,2024-01-01,7:30p,Home,Cleveland Cavaliers,124,121,13,20,W 1,W,42,87,11,30,0.367,29,40,0.725,10,47,25,5,4,11,22,2024,Toronto Raptors
535,34,2024-01-03,8:00p,Away,Memphis Grizzlies,116,111,14,20,W 2,W,41,85,12,26,0.462,22,27,0.815,7,46,25,5,6,12,20,2024,Toronto Raptors
536,35,2024-01-05,10:00p,Away,Sacramento Kings,130,135,14,21,L 1,L,47,87,13,37,0.351,23,27,0.852,8,37,31,5,10,14,20,2024,Toronto Raptors
537,36,2024-01-07,8:30p,Away,Golden State Warriors,133,118,15,21,W 1,W,55,94,15,33,0.455,8,14,0.571,9,45,38,7,6,7,14,2024,Toronto Raptors
538,37,2024-01-09,10:30p,Away,Los Angeles Lakers,131,132,15,22,L 1,L,53,94,17,35,0.486,8,13,0.615,5,37,34,8,4,12,26,2024,Toronto Raptors
539,38,2024-01-10,10:30p,Away,Los Angeles Clippers,120,126,15,23,L 2,L,46,84,12,30,0.4,16,18,0.889,7,37,31,4,2,14,17,2024,Toronto Raptors
540,39,2024-01-12,9:30p,Away,Utah Jazz,113,145,15,24,L 3,L,35,81,17,34,0.5,26,37,0.703,8,31,25,5,8,13,21,2024,Toronto Raptors
541,40,2024-01-15,7:30p,Home,Boston Celtics,96,105,15,25,L 4,L,38,95,4,32,0.125,16,21,0.762,9,52,25,6,2,7,21,2024,Toronto Raptors
542,41,2024-01-17,7:30p,Home,Miami Heat,121,97,16,25,W 1,W,45,88,20,38,0.526,11,18,0.611,13,45,34,9,4,10,14,2024,Toronto Raptors
543,42,2024-01-18,7:30p,Home,Chicago Bulls,110,116,16,26,L 1,L,42,83,10,38,0.263,16,20,0.8,7,38,31,7,5,14,18,2024,Toronto Raptors
544,43,2024-01-20,7:30p,Away,New York Knicks,100,126,16,27,L 2,L,38,92,11,34,0.324,13,23,0.565,11,31,29,10,5,10,18,2024,Toronto Raptors
545,44,2024-01-22,7:30p,Home,Memphis Grizzlies,100,108,16,28,L 3,L,35,79,8,23,0.348,22,23,0.957,12,47,31,7,8,17,14,2024,Toronto Raptors
546,45,2024-01-26,7:30p,Home,Los Angeles Clippers,107,127,16,29,L 4,L,44,96,6,32,0.188,13,22,0.591,15,45,26,6,3,11,18,2024,Toronto Raptors
547,46,2024-01-28,6:00p,Away,Atlanta Hawks,125,126,16,30,L 5,L,41,89,15,31,0.484,28,32,0.875,15,46,29,12,3,14,30,2024,Toronto Raptors
548,1,2023-10-25,7:00p,Home,Atlanta Hawks,116,110,1,0,W 1,W,43,86,11,37,0.297,19,26,0.731,12,51,34,5,3,19,21,2024,Charlotte Hornets
549,2,2023-10-27,7:00p,Home,Detroit Pistons,99,111,1,1,L 1,L,33,88,7,28,0.25,26,34,0.765,11,41,20,13,7,18,23,2024,Charlotte Hornets
550,3,2023-10-30,7:00p,Home,Brooklyn Nets,121,133,1,2,L 2,L,47,96,8,31,0.258,19,20,0.95,8,39,33,8,5,9,23,2024,Charlotte Hornets
551,4,2023-11-01,8:00p,Away,Houston Rockets,119,128,1,3,L 3,L,45,90,11,27,0.407,18,25,0.72,15,44,21,9,8,16,19,2024,Charlotte Hornets
552,5,2023-11-04,7:00p,Away,Indiana Pacers,125,124,2,3,W 1,W,47,88,8,20,0.4,23,23,1,12,41,23,5,10,13,20,2024,Charlotte Hornets
553,6,2023-11-05,7:30p,Away,Dallas Mavericks,118,124,2,4,L 1,L,49,99,8,30,0.267,12,21,0.571,10,43,30,5,2,8,25,2024,Charlotte Hornets
554,7,2023-11-08,7:00p,Home,Washington Wizards,116,132,2,5,L 2,L,41,79,8,25,0.32,26,35,0.743,11,47,17,8,5,20,22,2024,Charlotte Hornets
555,8,2023-11-10,7:00p,Away,Washington Wizards,124,117,3,5,W 1,W,50,110,6,28,0.214,18,28,0.643,28,67,31,10,4,9,19,2024,Charlotte Hornets
556,9,2023-11-12,12:00p,Away,New York Knicks,107,129,3,6,L 1,L,44,94,12,35,0.343,7,11,0.636,15,36,21,5,4,12,25,2024,Charlotte Hornets
557,10,2023-11-14,7:00p,Home,Miami Heat,105,111,3,7,L 2,L,36,81,15,32,0.469,18,22,0.818,13,45,21,6,0,18,21,2024,Charlotte Hornets
558,11,2023-11-17,7:00p,Home,Milwaukee Bucks,99,130,3,8,L 3,L,37,91,6,26,0.231,19,22,0.864,9,43,18,5,2,12,14,2024,Charlotte Hornets
559,12,2023-11-18,6:00p,Home,New York Knicks,108,122,3,9,L 4,L,40,82,17,35,0.486,11,13,0.846,4,36,29,5,5,13,22,2024,Charlotte Hornets
560,13,2023-11-20,7:00p,Home,Boston Celtics,121,118,4,9,W 1,W,46,104,13,39,0.333,16,17,0.941,17,57,29,9,7,13,18,2024,Charlotte Hornets
561,14,2023-11-22,7:00p,Home,Washington Wizards,117,114,5,9,W 2,W,43,91,16,37,0.432,15,21,0.714,11,49,27,6,4,12,15,2024,Charlotte Hornets
562,15,2023-11-26,6:00p,Away,Orlando Magic,117,130,5,10,L 1,L,44,83,13,30,0.433,16,25,0.64,5,36,27,6,7,18,26,2024,Charlotte Hornets
563,16,2023-11-28,7:30p,Away,New York Knicks,91,115,5,11,L 2,L,37,89,13,31,0.419,4,7,0.571,13,41,21,8,2,17,14,2024,Charlotte Hornets
564,17,2023-11-30,7:30p,Away,Brooklyn Nets,129,128,6,11,W 1,W,46,91,21,36,0.583,16,16,1,13,41,30,6,7,9,16,2024,Charlotte Hornets
565,18,2023-12-02,5:00p,Home,Minnesota Timberwolves,117,123,6,12,L 1,L,44,91,12,25,0.48,17,19,0.895,10,36,29,6,4,8,22,2024,Charlotte Hornets
566,19,2023-12-06,8:00p,Away,Chicago Bulls,100,111,6,13,L 2,L,39,90,10,37,0.27,12,12,1,12,42,25,9,9,16,24,2024,Charlotte Hornets
567,20,2023-12-08,7:00p,Home,Toronto Raptors,119,116,7,13,W 1,W,44,79,13,25,0.52,18,20,0.9,7,31,30,7,4,15,15,2024,Charlotte Hornets
568,21,2023-12-11,7:00p,Home,Miami Heat,114,116,7,14,L 1,L,40,84,17,41,0.415,17,22,0.773,6,31,31,3,2,10,22,2024,Charlotte Hornets
569,22,2023-12-13,7:30p,Away,Miami Heat,104,115,7,15,L 2,L,41,77,12,31,0.387,10,11,0.909,4,31,27,11,5,21,18,2024,Charlotte Hornets
570,23,2023-12-15,7:00p,Home,New Orleans Pelicans,107,112,7,16,L 3,L,41,92,9,31,0.29,16,21,0.762,8,39,18,7,4,8,24,2024,Charlotte Hornets
